,carname,starttime,endtime,startlat,startlon,endlat,endlon,timeintrip,dist,year,week,h3_O,h3_D,Month,Date,Year_1,Hour
44614,riF1NjpAnol7mo52J8rJwkO0hyQ,2022-01-03 08:31:25,2022/01/03 08:38:25,13.7281642079406,100.540191808245,13.7077029505898,100.51941486622,420,4659.0,2022,157,8864a4b14dfffff,8864a4b333fffff,1,2022/01/03,2022,8
44621,sFB/sH5Ji62OIVXBYS+VN6r2DB4,2022-01-03 07:27:58,2022/01/03 08:20:45,13.7381467438666,100.516509974082,13.7769848083973,100.478446894562,3167,6956.0,2022,157,8864a4b10bfffff,8864a4badbfffff,1,2022/01/03,2022,7
44630,gPhhFxqpa6zjfhS0ttoVdHdRFAU,2022-01-03 07:37:14,2022/01/03 08:11:14,13.734155076135,100.545608908798,13.7565686778707,100.559472311064,2040,5411.0,2022,157,8864a48493fffff,8864a484b3fffff,1,2022/01/03,2022,7
44651,AU9rM27lVqVXnZDO52No2r7sIUs,2022-01-03 07:25:22,2022/01/03 07:38:35,13.7407867784068,100.518220561998,13.7747591392132,100.542809790059,793,5337.0,2022,157,8864a4b101fffff,8864a4ba53fffff,1,2022/01/03,2022,7
44701,4R6VSexyA6OyhSfr+xrG7YFf16E,2022-01-10 07:12:19,2022/01/10 07:50:07,13.7400226822439,100.535017979366,13.7050081667344,100.485765840484,2268,8438.0,2022,158,8864a4b16bfffff,8864a4b005fffff,1,2022/01/10,2022,7
44717,AHGPsXLrLo+ZhwNb4GUyGMYpo5s,2022-01-10 07:26:37,2022/01/10 07:41:12,13.733073673546,100.533874738702,13.7609376619582,100.535981909027,875,3700.0,2022,158,8864a4b147fffff,8864a4b167fffff,1,2022/01/10,2022,7
44724,CmuuFRLMQW70Cc38MkphzdRMs7Q,2022-01-10 07:59:01,2022/01/10 08:22:01,13.7387724483318,100.546634353942,13.7298960994912,100.53684195356,1380,2864.0,2022,158,8864a4b169fffff,8864a4b141fffff,1,2022/01/10,2022,7
44725,CmuuFRLMQW70Cc38MkphzdRMs7Q,2022-01-10 08:30:01,2022/01/10 09:14:01,13.7417597435549,100.543471479444,13.7205103543631,100.526211251412,2640,3870.0,2022,158,8864a4b169fffff,8864a4b14bfffff,1,2022/01/10,2022,8
44734,OB4pJukjKy4gClBTTyN2sqDwd8Q,2022-01-10 07:20:03,2022/01/10 07:42:53,13.739797156,100.546975472809,13.7230524156157,100.547466568921,1370,2332.0,2022,158,8864a4b169fffff,8864a4b327fffff,1,2022/01/10,2022,7
44742,bitG24K3y6a00wR3iQZtKRef1EQ,2022-01-10 07:05:18,2022/01/10 07:30:18,13.7443834938084,100.543931643475,13.7196109342669,100.560346019325,1500,5895.0,2022,158,8864a4b169fffff,8864a4b325fffff,1,2022/01/10,2022,7
44759,Tj1cevfvzqfeeCHS8F0R46GDzOY,2022-01-10 08:05:59,2022/01/10 08:28:49,13.7329640001268,100.537904080992,13.7688417767825,100.529533773709,1370,4873.0,2022,158,8864a4b145fffff,8864a4b12dfffff,1,2022/01/10,2022,8
44762,riF1NjpAnol7mo52J8rJwkO0hyQ,2022-01-10 07:52:55,2022/01/10 08:09:55,13.7337503341178,100.533967569088,13.7648482027907,100.538992240951,1020,4358.0,2022,158,8864a4b147fffff,8864a4ba5bfffff,1,2022/01/10,2022,7
44764,uqQpC0PgLvDlCWQTMvXtmkFQHuI,2022-01-10 08:33:54,2022/01/10 09:03:54,13.7310467545901,100.533736856568,13.7901703321109,100.503059062012,1800,10333.0,2022,158,8864a4b141fffff,8864a4bac7fffff,1,2022/01/10,2022,8
44772,tWFlBuSW9LfVYAmAFTT6EIYirpw,2022-01-10 07:01:54,2022/01/10 07:27:54,13.7395266010829,100.534944818086,13.7196651121212,100.5648781305,1560,4665.0,2022,158,8864a4b16bfffff,8864a484d3fffff,1,2022/01/10,2022,7
44791,qZafgCluzhH78GcxL22ZzPVSIzE,2022-01-17 08:15:55,2022/01/17 08:22:55,13.743274994748,100.526933381324,13.7578360353015,100.53406159597,420,2002.0,2022,159,8864a4b10dfffff,8864a4b167fffff,1,2022/01/17,2022,8
44801,xqUQPay4/BhRqQhpLwJVCznNmpk,2022-01-17 08:43:51,2022/01/17 09:57:44,13.7325834034508,100.537756762348,13.7806382486664,100.475142488563,4433,16175.0,2022,159,8864a4b145fffff,8864a4bad3fffff,1,2022/01/17,2022,8
44802,01eSjlYfCoAw9i29NwtO4i0Lpmo,2022-01-17 08:05:42,2022/01/17 08:12:42,13.7482730508366,100.519100977214,13.7551392515179,100.532738156803,420,2134.0,2022,159,8864a4b101fffff,8864a4b163fffff,1,2022/01/17,2022,8
44803,01eSjlYfCoAw9i29NwtO4i0Lpmo,2022-01-17 08:25:42,2022/01/17 08:31:42,13.7446358021185,100.539355307961,13.7292234186767,100.529317205646,360,2586.0,2022,159,8864a4b16bfffff,8864a4b143fffff,1,2022/01/17,2022,8
44807,9pqny7RyF95DXcQBxTL69rJYzLY,2022-01-17 08:25:47,2022/01/17 08:37:57,13.7398666668635,100.517320038977,13.751197453156,100.537522351937,730,3516.0,2022,159,8864a4b101fffff,8864a4b161fffff,1,2022/01/17,2022,8
44822,+vrnKjZsK7Z0RIWSw+VF6egbc7Y,2022-01-17 07:49:15,2022/01/17 08:00:15,13.7331238411152,100.53399303151,13.7567073722245,100.517246755519,660,4329.0,2022,159,8864a4b147fffff,8864a4b12bfffff,1,2022/01/17,2022,7
44825,9Sc5v3E1Vqu7QXO3U7S3XcEMiPs,2022-01-17 07:54:47,2022/01/17 08:07:47,13.7308556453153,100.533818082046,13.7207957296371,100.527525004788,780,1936.0,2022,159,8864a4b141fffff,8864a4b14bfffff,1,2022/01/17,2022,7
44835,NKsT9RsMqHN53R5eJX5xGoKIvII,2022-01-17 08:46:56,2022/01/17 08:54:56,13.7389045090313,100.546823522114,13.7212309058634,100.556760574539,480,2853.0,2022,159,8864a4b169fffff,8864a4b325fffff,1,2022/01/17,2022,8
44837,zW3l727wm4zp+pLlQS8wZTH8/70,2022-01-17 08:41:51,2022/01/17 09:10:51,13.7354898083512,100.534341286284,13.8200681,100.5627223,1740,11370.0,2022,159,8864a4b147fffff,8864a4ba21fffff,1,2022/01/17,2022,8
44854,+JxpoiO3tGKsNsy62CvPPKMbMWc,2022-01-17 08:25:32,2022/01/17 09:14:32,13.742958083286,100.528916174619,13.7898268683083,100.478506970344,2940,9206.0,2022,159,8864a4b10dfffff,8864a4bad7fffff,1,2022/01/17,2022,8
44858,2r5bCEgZjnf46242/eMFJwkek8g,2022-01-17 08:32:35,2022/01/17 09:06:23,13.7331294631519,100.528872751347,13.6968126674711,100.463272430587,2028,10621.0,2022,159,8864a4b147fffff,8864a4b015fffff,1,2022/01/17,2022,8
44862,DPQsGkXXC+HQUeR1qginMyGiYAQ,2022-01-17 07:04:22,2022/01/17 07:16:22,13.7343293578353,100.541660794979,13.7149320738762,100.565425270237,720,4504.0,2022,159,8864a4b145fffff,8864a484d3fffff,1,2022/01/17,2022,7
44870,HRur6zKxHwGs/AwOiBKgvH1oPD8,2022-01-17 08:11:18,2022/01/17 08:17:18,13.7438025343061,100.543825364382,13.7443815461035,100.535741715009,360,972.0,2022,159,8864a4b169fffff,8864a4b16bfffff,1,2022/01/17,2022,8
44876,Fwsen5jrBzodxaaeKavJ+9HLvPk,2022-01-17 07:11:23,2022/01/17 07:28:04,13.7416616766957,100.547210130801,13.7644933742775,100.539159859437,1001,3760.0,2022,159,8864a4b169fffff,8864a4ba5bfffff,1,2022/01/17,2022,7
44886,drjO9fJd9IqPgCLRga01mTgiR7o,2022-01-17 07:08:51,2022/01/17 07:17:08,13.7414415799096,100.519828684798,13.7311998029425,100.520174530488,497,1708.0,2022,159,8864a4b101fffff,8864a4b155fffff,1,2022/01/17,2022,7
44888,L7juRX4EU/OvCo+meoTDx+r6pTQ,2022-01-17 08:17:36,2022/01/17 08:32:36,13.7319601779512,100.537521051835,13.7554019835619,100.533048635265,900,3902.0,2022,159,8864a4b145fffff,8864a4b163fffff,1,2022/01/17,2022,8
44891,LoNzjsZZylTycWtJf0obLtvbi1E,2022-01-17 07:24:34,2022/01/17 07:40:34,13.7388713612767,100.529761652602,13.7874365292589,100.547345752779,960,5898.0,2022,159,8864a4b147fffff,8864a4ba0bfffff,1,2022/01/17,2022,7
44895,kvaDaCgsGEnvWYP6egoBpVzC8QY,2022-01-17 08:58:47,2022/01/17 09:10:27,13.7416482170683,100.522686416535,13.7213781103497,100.519451568892,700,2518.0,2022,159,8864a4b10dfffff,8864a4b15dfffff,1,2022/01/17,2022,8
44897,V8F0cK98HyTMrcSdeR47rexj0rw,2022-01-17 07:46:29,2022/01/17 08:09:29,13.7394973517983,100.54930521318,13.7373158083618,100.560065266626,1380,3846.0,2022,159,8864a4b169fffff,8864a48491fffff,1,2022/01/17,2022,7
44907,zEBNn7yh95KlXMYgs0B32I7pLqc,2022-01-24 07:58:01,2022/01/24 08:09:00,13.7422607808897,100.535374933549,13.75291279899,100.541659968411,659,3164.0,2022,160,8864a4b16bfffff,8864a4b161fffff,1,2022/01/24,2022,7
44908,FzqBSqlWNUWKB0twyf2crswgVYA,2022-01-24 08:32:31,2022/01/24 08:44:32,13.742238382538,100.519708965667,13.7343812269746,100.518703726746,721,1037.0,2022,160,8864a4b101fffff,8864a4b109fffff,1,2022/01/24,2022,8
