,startlat,startlon,timeintrip,easting,northing,zone_number,zone_letter
29989,13.7714488014149,100.480244013392,1866,660025.3098589524,1522942.0764807323,47,P
29993,13.7792353311396,100.476349308174,420,659598.8938496774,1523800.8802937753,47,P
29995,13.7522232883969,100.483494127385,495,660389.8440949771,1520817.3992688842,47,P
30002,13.7597920707348,100.480511349128,955,660062.1472052018,1521652.7181354284,47,P
30008,13.746535830606,100.472758484798,420,659232.7620837052,1520181.1005550732,47,P
30009,13.778479425931,100.477052203449,895,659675.4080465725,1523717.7242935235,47,P
30029,13.7805024993112,100.47506550927,710,659459.2231793063,1523940.2100023294,47,P
30033,13.7436087077867,100.470481781365,360,658988.5345706359,1519855.7838013952,47,P
30041,13.7467836571347,100.463628229795,1547,658245.2517507663,1520202.5029346342,47,P
30051,13.7872656283594,100.467129940231,480,658596.6297832959,1524683.1353234856,47,P
30053,13.7783153348601,100.477204787182,695,659692.0177280719,1523699.6729042595,47,P
30054,13.7787726027162,100.476779586493,344,659645.7320642446,1523749.976211358,47,P
30069,13.7852936352454,100.470387551384,2593,658950.180635635,1524467.134618406,47,P
30076,13.7783716941547,100.477152380238,4540,659686.312906054,1523705.872896758,47,P
30077,13.7787331543102,100.476918145051,17213,659660.7405540195,1523745.7041937525,47,P
30078,13.7807673397087,100.473964291481,1821,659339.9750415622,1523968.778086025,47,P
30079,13.7780656536608,100.47764302588,1381,659739.5722323939,1523672.342776745,47,P
30088,13.7791791639545,100.474111428752,3166,659356.9610941174,1523793.1825123548,47,P
30089,13.7766102747683,100.478797207716,2023,659865.3588241085,1523512.1071531994,47,P
30093,13.7521609891263,100.479950793677,1020,660006.7182339611,1520808.1512066694,47,P
30107,13.7597305382712,100.481865008599,2916,660208.5660584902,1521646.811306199,47,P
30109,13.7788017714171,100.476752463328,1320,659642.7795498687,1523753.185015828,47,P
30119,13.7776047633561,100.473381946427,900,659279.1527522836,1523618.5300476402,47,P
30123,13.7609459891601,100.471182935947,540,659052.6484661109,1521774.1893645357,47,P
30140,13.7830063867345,100.472815798352,2220,659214.2778949239,1524215.7133394657,47,P
30144,13.7666030510888,100.483859294361,1071,660419.5314144895,1522408.4178225861,47,P
